animal_id,animal_type,breed,color,date_of_birth,date_of_outcome,name,outcome_subtype,outcome_type,sex_upon_outcome,location_lat,location_long
A746874,Cat,Domestic Shorthair Mix,Black/White,2014-04-10,2017-04-11,,SCRP,Transfer,Neutered Male,30.50665787,-97.34087807
A725717,Cat,Domestic Shorthair Mix,Silver Tabby,2015-05-02,2016-05-06,,SCRP,Transfer,Spayed Female,30.65259846,-97.74199635
A716330,Dog,Chihuahua Shorthair Mix,Brown/White,2013-11-18,2015-12-28,Frank,,Adoption,Neutered Male,30.75957481,-97.55237538
A733653,Cat,Siamese Mix,Seal Point,2016-01-25,2016-08-27,Kitty,,Adoption,Intact Female,30.31880634,-97.72403767
A691584,Dog,Labrador Retriever Mix,Tan/White,2012-11-06,2015-05-30,Luke,,Return to Owner,Neutered Male,30.71048156,-97.56229744
A696004,Dog,Cardigan Welsh Corgi Mix,Sable/White,2010-01-27,2015-01-28,Lucy,Rabies Risk,Euthanasia,Spayed Female,30.67373659,-97.70797153
A673830,Dog,Pit Bull Mix,Black/White,2012-03-03,2014-03-19,*Seth,Aggressive,Euthanasia,Neutered Male,30.29542566,-97.31366421
A736551,Dog,Labrador Retriever/Australian Cattle Dog,Black,2015-10-12,2016-11-27,*Mia,,Adoption,Spayed Female,30.44432128,-97.73269803
A720214,Dog,Labrador Retriever Mix,Red/White,2013-02-04,2016-02-11,Blessing,,Adoption,Spayed Female,30.38706482,-97.36843397
A664290,Cat,Domestic Shorthair Mix,Tortie,2013-09-01,2013-12-08,*Taylor,,Adoption,Spayed Female,30.75831055,-97.6182922
A721199,Dog,Dachshund Wirehair Mix,Tan/White,2015-02-23,2016-02-27,Belle,,Adoption,Spayed Female,30.72902728,-97.37533282
A664843,Dog,Pit Bull Mix,Brown/White,2013-06-09,2014-08-18,Sherlock,Partner,Transfer,Neutered Male,30.45155494,-97.47410451
A700408,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-04-13,2015-04-15,Nyla,,Return to Owner,Spayed Female,30.41011545,-97.56241567
A742287,Dog,Boxer/Bullmastiff,Brown Brindle/White,2015-01-18,2017-02-11,*Kawhi,,Adoption,Neutered Male,30.45511486,-97.30877805
A712638,Dog,Pit Bull Mix,Red/White,2012-09-26,2016-07-18,Marcus,Partner,Transfer,Neutered Male,30.57982992,-97.55884879
A723742,Dog,Miniature Schnauzer Mix,Black/White,2011-04-05,2016-04-10,Gretchen,,Adoption,Spayed Female,30.47928849,-97.40885316
A668960,Dog,Pit Bull Mix,Blue/White,2013-06-12,2013-12-27,*Gigi,,Adoption,Spayed Female,30.59434108,-97.24899336
A693288,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-09-28,2014-12-09,,,Adoption,Spayed Female,30.45276783,-97.46205072
A709511,Cat,Domestic Medium Hair Mix,White/Black,2015-07-10,2015-11-13,*Toad,Foster,Adoption,Neutered Male,30.52028775,-97.65742044
A693126,Dog,American Bulldog Mix,White/Brown,2013-12-02,2015-02-28,George,,Adoption,Neutered Male,30.5777123,-97.64388266
A730354,Dog,Pit Bull Mix,Blue/White,2015-07-02,2017-07-01,Mia,,Adoption,Spayed Female,30.48156897,-97.36949609
A615748,Dog,Labrador Retriever Mix,Black,2009-12-11,2015-10-26,Blackie,Suffering,Euthanasia,Neutered Male,30.71720698,-97.29528331
A692137,Dog,Pit Bull Mix,Blue/White,2013-05-15,2016-03-01,Shadow,Partner,Transfer,Intact Male,30.36915965,-97.3810872
A704707,Cat,Siamese Mix,Seal Point,2015-05-17,2015-06-08,,Partner,Transfer,Unknown,30.70993564,-97.69685334
A725966,Cat,Domestic Shorthair Mix,Tortie,2016-03-20,2016-05-24,*Star,,Adoption,Spayed Female,30.52017076,-97.53178243
A743231,Cat,Domestic Shorthair Mix,Black,2016-02-06,2017-02-07,,SCRP,Transfer,Intact Female,30.2920164,-97.42662919
A764418,Dog,Chihuahua Shorthair Mix,Tan/White,2015-12-29,2017-12-30,Burro,,Return to Owner,Neutered Male,30.27716894,-97.71227555
A743879,Dog,Pit Bull Mix,Black/White,2016-02-18,2017-06-16,*Tallulah,Partner,Transfer,Spayed Female,30.75736753,-97.46674216
A756064,Cat,Domestic Shorthair Mix,Blue,2017-06-13,2017-08-16,,Partner,Transfer,Intact Male,30.29341166,-97.29019484
A648094,Dog,Dachshund/Chihuahua Shorthair,Red,2012-11-21,2016-07-21,Brawndo,,Adoption,Neutered Male,30.7173271,-97.48834083
A651202,Dog,Maltese Mix,White,2009-04-07,2014-09-06,Daisy,,Return to Owner,Spayed Female,30.48740064,-97.73007411
A687515,Cat,Domestic Shorthair Mix,Orange Tabby,2014-05-29,2014-09-07,Dinah,,Adoption,Spayed Female,30.53705367,-97.56848156
A709958,Dog,Australian Cattle Dog Mix,Brown Brindle/White,2013-08-15,2015-08-23,Jack,,Adoption,Intact Female,30.69373851,-97.57660032
A753983,Cat,Domestic Shorthair Mix,Orange Tabby,2017-04-13,2017-07-16,,Snr,Transfer,Unknown,30.43018877,-97.58375536
A712377,Cat,Domestic Shorthair Mix,Brown Tabby/White,2008-09-22,2015-09-23,,SCRP,Transfer,Neutered Male,30.59149195,-97.64170614
A706953,Dog,Labrador Retriever Mix,Yellow,2014-12-06,2015-07-06,,Medical,Euthanasia,Intact Female,30.54808024,-97.29699691
A739519,Cat,Domestic Shorthair Mix,Brown Tabby,2016-11-06,2017-02-11,Mojito,,Adoption,Spayed Female,30.68318128,-97.24581916
A760125,Cat,Domestic Shorthair Mix,White/Black,2017-07-29,2017-10-17,,Partner,Transfer,Neutered Male,30.5414257,-97.46339942
A707145,Dog,Dachshund Mix,Brown/White,2014-07-08,2015-07-10,Puppy,Partner,Transfer,Intact Female,30.32625576,-97.58265481
A710726,Cat,Domestic Shorthair Mix,Torbie,2015-08-04,2015-10-24,*Zara,,Adoption,Spayed Female,30.38500588,-97.52092098
A699587,Dog,Miniature Poodle Mix,White,2013-03-30,2015-04-03,Paisley,,Adoption,Spayed Female,30.28807307,-97.70830367
A691043,Dog,Pug/Chihuahua Shorthair,Tan/Black,2013-07-29,2014-11-02,Thor,Partner,Transfer,Intact Male,30.60249091,-97.55654615
A697233,Dog,Pit Bull Mix,Tan/White,2013-02-20,2015-04-05,*Tolliver,Partner,Transfer,Neutered Male,30.30918992,-97.40739133
A724746,Cat,Domestic Shorthair Mix,Orange Tabby,2008-04-21,2016-04-22,,Partner,Transfer,Intact Male,30.37348254,-97.48765347
A674774,Dog,German Shepherd/Labrador Retriever,Brown/Black,2008-03-18,2014-03-19,Brownie,,Return to Owner,Neutered Male,30.65866278,-97.58143998
A683445,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-06-03,2014-07-17,*Blynn,In Kennel,Died,Intact Male,30.49484256,-97.45888531
A672401,Dog,Siberian Husky Mix,Red/White,2011-02-09,2014-02-09,Ziegen,,Return to Owner,Neutered Male,30.57311361,-97.43700345
A689217,Dog,Australian Cattle Dog/Beagle,White/Red,2013-09-30,2014-10-11,Hot Dog,,Adoption,Spayed Female,30.37078405,-97.37787508
A742234,Dog,Yorkshire Terrier Mix,Brown/Black,2009-01-18,2017-01-28,Coco,,Return to Owner,Neutered Male,30.35717928,-97.54670925
A721406,Dog,Labrador Retriever Mix,Cream/White,2014-02-26,2016-05-04,Lanie,,Adoption,Spayed Female,30.40951713,-97.41467687
A680890,Dog,Miniature Poodle,White,2012-06-09,2014-06-09,,Suffering,Euthanasia,Intact Female,30.33199033,-97.55681744
A723050,Cat,Domestic Shorthair Mix,Brown Tabby,2016-03-12,2016-03-25,,Partner,Transfer,Intact Male,30.35572526,-97.57433007
A752695,Cat,Domestic Shorthair Mix,Brown Tabby/White,2017-05-26,2017-06-27,,Partner,Transfer,Intact Male,30.34659316,-97.31040717
A715512,Cat,Domestic Shorthair Mix,Orange Tabby,2014-11-05,2016-01-04,*Lola,Partner,Transfer,Spayed Female,30.56026105,-97.29812215
A699222,Dog,Beagle Mix,Tricolor,2009-06-14,2015-06-19,Scruffy,Partner,Transfer,Neutered Male,30.75399569,-97.64060954
A728660,Cat,Domestic Shorthair Mix,Brown Tabby,2016-05-05,2016-06-30,Misty,,Adoption,Intact Female,30.3384119,-97.50993768
A754845,Dog,Chow Chow Mix,Tan,2010-08-12,2017-08-17,Coco,,Rto-Adopt,Spayed Female,30.54990388,-97.7055343
A730275,Dog,Chinese Sharpei Mix,Brown,2015-07-01,2016-07-09,Chai,,Adoption,Spayed Female,30.58131511,-97.6206629
A689501,Dog,Chinese Crested Mix,Black/White,2010-10-04,2014-10-09,*Ping,,Adoption,Neutered Male,30.67946692,-97.57340233
A716822,Dog,Dachshund Mix,Red/White,2015-09-18,2015-11-30,*Sally,,Adoption,Spayed Female,30.52057505,-97.29186282
A751029,Dog,Staffordshire Mix,Blue/White,2016-06-03,2017-06-09,,,Adoption,Spayed Female,30.31964759,-97.57250821
A669824,Dog,Labrador Retriever Mix,Black,2013-07-27,2014-11-15,Jackson,Partner,Transfer,Neutered Male,30.61943385,-97.65793522
A728144,Dog,Border Collie/Queensland Heeler,Black/White,2014-05-31,2016-06-05,Lilly,,Adoption,Spayed Female,30.2947529,-97.42794279
A708999,Dog,Australian Cattle Dog Mix,Brown Brindle/White,2014-11-03,2015-12-15,*Daisy,Foster,Adoption,Spayed Female,30.47034592,-97.68516405
A671822,Dog,German Shepherd Mix,Black/Tan,2006-01-31,2016-10-11,*Milo,Foster,Adoption,Neutered Male,30.71187663,-97.29993658
A713150,Cat,Domestic Medium Hair Mix,Blue/White,2015-04-03,2015-10-04,,SCRP,Transfer,Unknown,30.64900565,-97.30064327
A745946,Dog,Chihuahua Shorthair,White/Tan,2005-03-29,2017-08-07,*Toodles,Foster,Adoption,Neutered Male,30.70033509,-97.57274898
A752436,Dog,Yorkshire Terrier Mix,Tricolor,2013-06-22,2017-06-23,Rylie,,Return to Owner,Neutered Male,30.5804325,-97.54040821
A725549,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-04-30,2016-06-12,Diz,,Adoption,Spayed Female,30.3496663,-97.33311828
A683276,Other,Raccoon Mix,Black/Gray,2014-04-08,2014-07-09,,Rabies Risk,Euthanasia,Unknown,30.51067461,-97.2826788
A762414,Other,Raccoon,Gray/Black,2015-11-20,2017-11-21,,Suffering,Euthanasia,Unknown,30.37189262,-97.47742722
A712292,Dog,Chihuahua Shorthair Mix,Tan/White,2014-09-20,2015-09-21,Peanut,,Return to Owner,Spayed Female,30.76455889,-97.63048225
A666065,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-08-26,2013-11-09,Sandy,,Adoption,Spayed Female,30.54302876,-97.68624353
A582826,Dog,Beagle,Tricolor,2005-08-26,2015-08-18,Charlie,,Return to Owner,Neutered Male,30.33616352,-97.45077998
A734883,Cat,Domestic Shorthair Mix,Blue Tabby/White,2016-04-14,2016-09-27,,,Adoption,Neutered Male,30.49847798,-97.59303322
A703777,Cat,Domestic Shorthair Mix,Black Smoke,2015-04-21,2016-03-11,Whisper,Foster,Adoption,Spayed Female,30.44457432,-97.30198317
A756786,Dog,Chihuahua Longhair/Yorkshire Terrier,White/Tan,2013-08-25,2017-08-28,Bebe,,Adoption,Neutered Male,30.47382989,-97.56716593
A690377,Dog,Pit Bull Mix,Black/White,2013-10-19,2015-02-20,*Pagani,,Adoption,Neutered Male,30.58040417,-97.34413054
A674079,Other,Bat,Brown/Black,2014-02-07,2014-03-07,,Rabies Risk,Euthanasia,Unknown,30.76078922,-97.70866883
A687309,Dog,Miniature Poodle Mix,Cream,2014-05-03,2014-09-07,,Partner,Transfer,Neutered Male,30.34981432,-97.33557631
A678782,Cat,Domestic Shorthair Mix,Black,2014-03-28,2015-03-02,Fred,Partner,Transfer,Neutered Male,30.29583866,-97.55849055
A723765,Dog,Queensland Heeler Mix,White/Red Merle,2013-04-06,2016-04-06,Dewie,,Return to Owner,Spayed Female,30.27694519,-97.31492229
A738497,Cat,Domestic Shorthair Mix,Brown Tabby,2012-11-16,2016-12-22,*Kyleigh,Partner,Transfer,Spayed Female,30.68063452,-97.66787545
A704521,Cat,Domestic Shorthair Mix,Orange Tabby,2014-06-05,2015-06-24,*Goldie,Partner,Transfer,Spayed Female,30.49896344,-97.67515706
A323668,Dog,Australian Cattle Dog Mix,Tricolor,2003-05-15,2015-03-06,Ringo,,Return to Owner,Neutered Male,30.50798908,-97.55348875
A724022,Dog,Chihuahua Shorthair Mix,Tan/Red,2011-04-10,2017-05-24,Pepe,,Return to Owner,Neutered Male,30.40541623,-97.5924478
A724478,Dog,Flat Coat Retriever Mix,Black,2015-04-18,2016-05-04,Shadow,,Adoption,Neutered Male,30.52659064,-97.64024461
A663438,Dog,Labrador Retriever Mix,Sable,2006-09-18,2014-06-14,Bonny,,Adoption,Spayed Female,30.71339193,-97.30775521
A724814,Cat,Domestic Shorthair Mix,Black,2015-04-22,2016-06-28,*Oaxaca,,Adoption,Spayed Female,30.44652034,-97.67756338
A765965,Dog,Pointer Mix,Chocolate/White,2017-09-30,2018-02-01,Coco,,Adoption,Spayed Female,30.31972316,-97.25627018
A724729,Cat,Domestic Longhair Mix,Calico,2002-04-21,2016-04-24,Victoria,,Return to Owner,Spayed Female,30.42510298,-97.64833639
A725343,Dog,Pit Bull Mix,Brown Brindle/White,2014-04-28,2016-07-13,Luna,,Adoption,Spayed Female,30.42835987,-97.35458626
A707888,Cat,Domestic Shorthair Mix,Brown Tabby/White,2015-05-04,2015-07-25,Sammy,,Adoption,Neutered Male,30.34820438,-97.35051545
A682638,Cat,Domestic Shorthair Mix,Brown Tabby,2014-05-15,2014-07-18,Marie,,Adoption,Spayed Female,30.32132108,-97.3396321
